"recipient_code","recipient_name","iso3","wb_name","gbd_location_name","continent","continent_name","region","region_name","subregion","subregion_name","has_worldbank_data","has_gbd_data","no_data_reason","source_12262","source_12263","source_13040","source_51010"
"IDN","Indonesia","IDN","Indonesia","Indonesia","S","Asia","S97","Far East Asia","IDN","Indonesia",TRUE,TRUE,,"own","own","own","own"
"INDUS","Indus Basin",,,,"S","Asia","S4_S7","Southern and Central Asia","INDUS","Indus Basin",FALSE,FALSE,"OECD programme, not a country","regional (region)","regional (region)","regional (region)","regional (region)"
"IRN","Iran","IRN","Iran, Islamic Rep.","Iran (Islamic Republic of)","S","Asia","F97","Middle East","IRN","Iran",TRUE,TRUE,,"own","own","own","own"
"IRQ","Iraq","IRQ","Iraq","Iraq","S","Asia","F97","Middle East","IRQ","Iraq",TRUE,TRUE,,"own","own","own","own"
"ISR","Israel","ISR","Israel","Israel","S","Asia","F97","Middle East","ISR","Israel",TRUE,TRUE,,"own","own","own","own"
"JAM","Jamaica","JAM","Jamaica","Jamaica","A","America","A5","Central America and the Caribbean","A4","Caribbean",TRUE,TRUE,,"own","own","own","own"
"JOR","Jordan","JOR","Jordan","Jordan","S","Asia","F97","Middle East","JOR","Jordan",TRUE,TRUE,,"own","own","own","own"
"KAZ","Kazakhstan","KAZ","Kazakhstan","Kazakhstan","S","Asia","S4_S7","Southern and Central Asia","KAZ","Kazakhstan",TRUE,TRUE,,"own","own","own","own"
"KEN","Kenya","KEN","Kenya","Kenya","F","Africa","F6","Sub-Saharan Africa","F3","Eastern Africa",TRUE,TRUE,,"own","own","own","own"
"KIR","Kiribati","KIR","Kiribati","Kiribati","O","Oceania","O8","Micronesia","KIR","Kiribati",TRUE,TRUE,,"own","own","own","own"
"KOR","Korea","KOR","Korea, Rep.","Republic of Korea","S","Asia","S97","Far East Asia","KOR","Korea",TRUE,TRUE,,"own","own","own","own"
"XKV","Kosovo","XKX","Kosovo",,"E","Europe","XKV","Kosovo","XKV","Kosovo",TRUE,FALSE,,"regional (continent)","regional (continent)","regional (continent)","regional (continent)"
"KWT","Kuwait","KWT","Kuwait","Kuwait","S","Asia","F97","Middle East","KWT","Kuwait",TRUE,TRUE,,"own","own","own","own"
"KGZ","Kyrgyzstan","KGZ","Kyrgyz Republic","Kyrgyzstan","S","Asia","S4_S7","Southern and Central Asia","KGZ","Kyrgyzstan",TRUE,TRUE,,"own","own","own","own"
"LAO","Lao People’s Democratic Republic","LAO","Lao PDR","Lao People's Democratic Republic","S","Asia","S97","Far East Asia","LAO","Lao People’s Democratic Republic",TRUE,TRUE,,"own","own","own","own"
"LBN","Lebanon","LBN","Lebanon","Lebanon","S","Asia","F97","Middle East","LBN","Lebanon",TRUE,TRUE,,"own","own","own","own"
"LSO","Lesotho","LSO","Lesotho","Lesotho","F","Africa","F6","Sub-Saharan Africa","F7","Southern Africa",TRUE,TRUE,,"own","own","own","own"
"LBR","Liberia","LBR","Liberia","Liberia","F","Africa","F6","Sub-Saharan Africa","F8","Western Africa",TRUE,TRUE,,"own","own","own","own"
"LBY","Libya","LBY","Libya","Libya","F","Africa","F4","Northern Africa","LBY","Libya",TRUE,TRUE,,"own","own","own","own"
"MAC","Macau (China)","MAC","Macao SAR, China",,"S","Asia","S97","Far East Asia","MAC","Macau (China)",TRUE,FALSE,,"regional (region)","regional (region)","regional (region)","regional (region)"
"MDG","Madagascar","MDG","Madagascar","Madagascar","F","Africa","F6","Sub-Saharan Africa","F3","Eastern Africa",TRUE,TRUE,,"own","own","own","own"
"MWI","Malawi","MWI","Malawi","Malawi","F","Africa","F6","Sub-Saharan Africa","F3","Eastern Africa",TRUE,TRUE,,"own","own","own","own"
"MYS","Malaysia","MYS","Malaysia","Malaysia","S","Asia","S97","Far East Asia","MYS","Malaysia",TRUE,TRUE,,"own","own","own","own"
"MDV","Maldives","MDV","Maldives","Maldives","S","Asia","S4_S7","Southern and Central Asia","MDV","Maldives",TRUE,TRUE,,"own","own","own","own"
"MLI","Mali","MLI","Mali","Mali","F","Africa","F6","Sub-Saharan Africa","F8","Western Africa",TRUE,TRUE,,"own","own","own","own"
"MLT","Malta","MLT","Malta","Malta","E","Europe","MLT","Malta","MLT","Malta",TRUE,TRUE,,"own","own","own","own"
"MHL","Marshall Islands","MHL","Marshall Islands","Marshall Islands","O","Oceania","O8","Micronesia","MHL","Marshall Islands",TRUE,TRUE,,"own","own","own","own"
"MRT","Mauritania","MRT","Mauritania","Mauritania","F","Africa","F6","Sub-Saharan Africa","F8","Western Africa",TRUE,TRUE,,"own","own","own","own"
"MUS","Mauritius","MUS","Mauritius","Mauritius","F","Africa","F6","Sub-Saharan Africa","F3","Eastern Africa",TRUE,TRUE,,"own","own","own","own"
"MYT","Mayotte",,,,"F","Africa","F6","Sub-Saharan Africa","F3","Eastern Africa",FALSE,FALSE,"small territory, not a World Bank economy","regional (subregion)","regional (subregion)","regional (subregion)","regional (subregion)"
"MKNG","Mekong Delta",,,,"S","Asia","S97","Far East Asia","MKNG","Mekong Delta",FALSE,FALSE,"OECD programme, not a country","regional (region)","regional (region)","regional (region)","regional (region)"
"MEX","Mexico","MEX","Mexico","Mexico","A","America","A5","Central America and the Caribbean","A3","Central America",TRUE,TRUE,,"own","own","own","own"
"FSM","Micronesia","FSM","Micronesia, Fed. Sts.","Micronesia (Federated States of)","O","Oceania","O8","Micronesia","FSM","Micronesia",TRUE,TRUE,,"own","own","own","own"
"MDA","Moldova","MDA","Moldova","Republic of Moldova","E","Europe","MDA","Moldova","MDA","Moldova",TRUE,TRUE,,"own","own","own","own"
"MNG","Mongolia","MNG","Mongolia","Mongolia","S","Asia","S97","Far East Asia","MNG","Mongolia",TRUE,TRUE,,"own","own","own","own"
"MNE","Montenegro","MNE","Montenegro","Montenegro","E","Europe","MNE","Montenegro","MNE","Montenegro",TRUE,TRUE,,"own","own","own","own"
"MSR","Montserrat",,,,"A","America","A5","Central America and the Caribbean","A4","Caribbean",FALSE,FALSE,"small territory, not a World Bank economy","regional (subregion)","regional (subregion)","regional (subregion)","regional (subregion)"
"MAR","Morocco","MAR","Morocco","Morocco","F","Africa","F4","Northern Africa","MAR","Morocco",TRUE,TRUE,,"own","own","own","own"
"MOZ","Mozambique","MOZ","Mozambique","Mozambique","F","Africa","F6","Sub-Saharan Africa","F3","Eastern Africa",TRUE,TRUE,,"own","own","own","own"
"MMR","Myanmar","MMR","Myanmar","Myanmar","S","Asia","S4_S7","Southern and Central Asia","MMR","Myanmar",TRUE,TRUE,,"own","own","own","own"
"NAM","Namibia","NAM","Namibia","Namibia","F","Africa","F6","Sub-Saharan Africa","F7","Southern Africa",TRUE,TRUE,,"own","own","own","own"
"NRU","Nauru","NRU","Naoero","Nauru","O","Oceania","O8","Micronesia","NRU","Nauru",TRUE,TRUE,,"own","own","own","own"
"NPL","Nepal","NPL","Nepal","Nepal","S","Asia","S4_S7","Southern and Central Asia","NPL","Nepal",TRUE,TRUE,,"own","own","own","own"
"NCL","New Caledonia","NCL","New Caledonia",,"O","Oceania","O7","Melanesia","NCL","New Caledonia",TRUE,FALSE,,"regional (region)","regional (region)","regional (region)","regional (region)"
"NIC","Nicaragua","NIC","Nicaragua","Nicaragua","A","America","A5","Central America and the Caribbean","A3","Central America",TRUE,TRUE,,"own","own","own","own"
